krama,ngoko
bab alakirabi wayuh kalihan boten,bab ala kirabi awake karo ora
karanganipun suwara sandiasma,caritane swara sandiasma
kaecap ing pangecapanipun tuwan h a benyamin ing nagari semarang,omongan pak benyamin nang semarang
ing taun,tahun
bab alakirabi wayuh kalihan boten,bab ala alane awake dhewe karo ora
adat tatacara ingkang kawastanan prayogi saking pamanggih kula ingkang tumusipun adamel sakeca tuwin mulya dhateng ingkang gadhah adat lan tatacara wau,adat kebiasaan sing dianggep penting miturut pikiranku sing tujuan nggawe becik lan mulia marang sing duwe adat kebiasaan mau
manut ingkang katingal ing kathah bangsa kulit pethak adat tuwin caranipun sae pathokanipun angugemi dhawuhing allah kados ta manusa kedah nedha kringetipun piyambak sinten ingkang boten purun kumlawe inggih badhe kaluwen sanak sadherek boten badhe purun nguluri sandhang tedha dalah tiyang sepuh inggih lumuh ngrembag kabetahanipun anak ingkang sampun wancinipun aceceker piyambak,ngono sing katon akeh bangsa kulit putih adat lan carane apik conto turute perintah gusti allah kaya manungsa kudu mangan dhewe dhewe sapa sing ora gelem melu ya bakal ditinggal sedulur ora gelem nulungi sandang pangan lan wong tuwa ya susah rembugan kepenakane anak sing wis wayahe urip dhewe
mila saben tiyang kapeksa mesu badanipun temahan angsal pangupajiwa undha usuk manut kabegjanipun tuwin kawignyanipun,mulane saben wong kudu usaha awak dewe supaya entuk penghidupan sing cukup lan makmur miturut rejekine lan kekuwatane
pituwasing kangelan kangge ing badanipun piyambak saha anak bojonipun bilih wonten tirahipun sakedhik sakedhik dipun kalempakaken,kowe susah awakmu lan bojone yen ana kurang sak sikil sikil diwenehi
lami lami dados kathah sadhiyan manawi manggih sesakit utawi manawi sampun jempo,lama lama dadi akeh dhaharan yen ketemu lara utawa yen wis tuwa
kala kala inggih kangge tetulung sasamining tumitah ingkang kasangsaran lampah ingkang makaten punika anjunjung dhiri,iku kanggo tulung sesami manungsa sing susah laku kaya ngono iku ngluhurake awake dhewe
mila sanajan bangsa kulit pethak kathah ingkang kacingkrangan ingkang luhur tuwin mulya boten kirang kirang,mulane senajan bangsa kulit putih akeh sing kere sing luhur lan mulia ora kurang kurang
wangsul bangsa kula jawi saking miyar miyuring watek manawi gadhah pangkat utawi pangupajiwa sanajan sakedhik pamedalipun manawi dipun ebyuki sanak sadherek boten saged selak,bali wong jawa saka sugih miskin yen duwe pangkat utawa gawean sanajan sithik penghasilannya yen dibebani sedulur ora isa nolak
ngukup sanak sadherek ingkang lumuh ing damel wirang rumagang anggarap sadhengah pakaryan sok ugi angsal tedha nanging sami boten isin gesang kados kemadheyan,ngumpul sedulur sing susah gawe isin melu nggarap sawetara kerja ya entuk dhahar tapi kabeh ora isin urip kaya ngono
temahan ingkang dipun tempeli kera kirang tedha monggrak manggrik telas kakiyatanipun,tuku sing ditempel kethek kurang enak rasane wis ora kuat
dados ingkang tetulung dhumawah ing sangsara ingkang dipun tulungi boten dados mulyanipun,sing nulung wong susah sing ditulungi ora dadi mulya
bangsa kula jawi ageng alit meh sepen ing donya brana malah saupami boten karidhu ing sambutan dhateng tiyang manca kemawon sampun kasuwuraken sugih,wong jawa gedhe cilik meh kabeh ning dunya iki malah nek ora terkenal sopan marang wong manca wae wis misuwur sugih
kajawi adat ingkang kasebut punika ingkang dados tuking sangsara ageng dhateng bangsa kula jawi wawenangipun jaler rabi kalih tiga sakawan,liyane adat adat mau sing dadi sumber kasangsaran gedhe kanggo bangsa jawa yaiku hak bojone lanang loro telu utawa papat
ingkang sapisan tiyang wayuh punika boten tentrem ing gesangipun rabinipun saben dinten tansah abratayuda rebat menang sageda amboyong lakinipun lulusa dados gadhahanipun piyambak sampun ngantos nolih dhateng marunipun,pisan wong wedok iku ora tentrem urip e bojone saben dina tansah perang rebut menang isa nggawa bojone dadi duweke dhewe ora nganti bali marang mantan e
ingkang boten kadumugen dhateng lakinipun saben dinten tansah muring,sing ora diwenehi bojone saben dina terus ngamuk
